id,question,answer,context,difficulty
18,Что такое распространение персональных данных?,"Распространение персональных данных - это действия, направленные на раскрытие персональных данных неопределенному кругу лиц.","5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;",easy
19,Какие действия подразумевает понятие 'распространение персональных данных'?,Распространение персональных данных включает в себя раскрытие персональных данных неопределенному кругу лиц.,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;",medium
20,Что означает предоставление персональных данных?,"Предоставление персональных данных – это действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц.","предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;",easy
21,Какие действия подразумевает понятие 'предоставление персональных данных'?,Предоставление персональных данных подразумевает раскрытие этих данных определенному лицу или кругу лиц.,"предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;",medium
22,Что такое блокирование персональных данных?,"Блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных).","7) блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных);",easy
23,"В каких случаях может продолжаться обработка персональных данных, несмотря на блокирование?","Обработка персональных данных может продолжаться, если она необходима для уточнения персональных данных.","7) блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных);",medium
24,Что подразумевается под «уничтожением персональных данных»?,"Уничтожение персональных данных - это действия, в результате которых становится невозможным восстановить содержание персональных данных в информационной системе персональных данных и (или) в результате которых уничтожаются материальные носители персональных данных.","8) уничтожение персональных данных - действия, в результате которых становится невозможным восстановить содержание персональных данных в информационной системе персональных данных и (или) в результате которых уничтожаются материальные носители персональных данных;",easy
25,Какие два типа действий могут квалифицироваться как «уничтожение персональных данных»?,"Уничтожение персональных данных включает в себя действия, которые делают невозможным восстановление данных в информационных системах, а также уничтожение физических носителей данных.","8) уничтожение персональных данных - действия, в результате которых становится невозможным восстановить содержание персональных данных в информационной системе персональных данных и (или) в результате которых уничтожаются материальные носители персональных данных;",medium
26,Что такое обезличивание персональных данных?,"Обезличивание персональных данных - это действия, в результате которых становится невозможным без использования дополнительной информации определить принадлежность персональных данных конкретному субъекту персональных данных.","9) обезличивание персональных данных - действия, в результате которых становится невозможным без использования дополнительной информации определить принадлежность персональных данных конкретному субъекту персональных данных;",easy
27,Какие действия относятся к обезличиванию персональных данных?,"Обезличивание персональных данных включает в себя действия, при которых невозможно определить, кому принадлежат данные, без использования дополнительной информации.","9) обезличивание персональных данных - действия, в результате которых становится невозможным без использования дополнительной информации определить принадлежность персональных данных конкретному субъекту персональных данных;",medium
28,Что представляет собой информационная система персональных данных?,Информационная система персональных данных – совокупность содержащихся в базах данных персональных данных и обеспечивающих их обработку информационных технологий и технических средств.,информационная система персональных данных - совокупность содержащихся в базах данных персональных данных и обеспечивающих их обработку информационных технологий и технических средств,easy
29,Какие компоненты входят в состав информационной системы персональных данных?,"В состав информационной системы персональных данных входят базы данных персональных данных и информационные технологии и технические средства, обеспечивающие их обработку.",информационная система персональных данных - совокупность содержащихся в базах данных персональных данных и обеспечивающих их обработку информационных технологий и технических средств,medium
30,Что подразумевается под термином «трансграничная передача персональных данных»?,"Трансграничная передача персональных данных - передача персональных данных на территорию иностранного государства органу власти иностранного государства, иностранному физическому лицу или иностранному юридическому лицу.","трансграничная передача персональных данных - передача персональных данных на территорию иностранного государства органу власти иностранного государства, иностранному физическому лицу или иностранному юридическому лицу.",easy
31,Какие субъекты могут быть получателями персональных данных при трансграничной передаче?,"При трансграничной передаче персональных данных получателями могут быть орган власти иностранного государства, иностранное физическое лицо или иностранное юридическое лицо.","трансграничная передача персональных данных - передача персональных данных на территорию иностранного государства органу власти иностранного государства, иностранному физическому лицу или иностранному юридическому лицу.",medium
32,На чём основывается законодательство Российской Федерации в области персональных данных?,Законодательство Российской Федерации в области персональных данных основывается на Конституции Российской Федерации и международных договоров Российской Федерации.,Законодательство Российской Федерации в области персональных данных основывается на Конституции Российской Федерации и международных договоров Российской Федерации и состоит из настоящего Федерального закона и других определяющих случаи и особенности обработки персональных данных федеральных законов.,easy
33,"Какие документы, помимо данного Федерального закона, определяют случаи и особенности обработки персональных данных?",Другие федеральные законы определяют случаи и особенности обработки персональных данных.,Законодательство Российской Федерации в области персональных данных основывается на Конституции Российской Федерации и международных договоров Российской Федерации и состоит из настоящего Федерального закона и других определяющих случаи и особенности обработки персональных данных федеральных законов.,easy
34,Какие органы могут принимать нормативные правовые акты в сфере обработки персональных данных?,"Нормативные правовые акты могут принимать государственные органы, Банк России и органы местного самоуправления.","На основании и во исполнение федеральных законов государственные органы, Банк России, органы местного самоуправления в пределах своих полномочий могут принимать нормативные правовые акты, нормативные акты, правовые акты (далее - нормативные правовые акты) по отдельным вопросам, касающимся обработки персональных данных.",easy
35,"Какие ограничения должны содержать нормативные правовые акты, принимаемые в сфере обработки персональных данных?","Нормативные правовые акты не могут содержать положения, ограничивающие права субъектов персональных данных, устанавливающие не предусмотренные федеральными законами ограничения деятельности операторов или возлагающие на операторов не предусмотренные федеральными законами обязанности.","Такие акты не могут содержать положения, ограничивающие права субъектов персональных данных, устанавливающие не предусмотренные федеральными законами ограничения деятельности операторов или возлагающие на операторов не предусмотренные федеральными законами обязанности, и подлежат официальному опубликованию.",medium
36,Какие факторы могут определять особенности обработки персональных данных?,Особенности обработки персональных данных могут быть установлены федеральными законами и иными нормативными правовыми актами Российской Федерации.,"Особенности обработки персональных данных, осуществляемой без использования средств автоматизации, могут быть установлены федеральными законами и иными нормативными правовыми актами Российской Федерации с учетом положений настоящего Федерального закона.",easy
37,При каком условии могут устанавливаться правила обработки персональных данных?,Правила обработки персональных данных могут устанавливаться федеральными законами и иными нормативными правовыми актами Российской Федерации.,"Особенности обработки персональных данных, осуществляемой без использования средств автоматизации, могут быть установлены федеральными законами и иными нормативными правовыми актами Российской Федерации с учетом положений настоящего Федерального закона.",medium
38,В каких случаях нормативные правовые акты подлежат обязательному согласованию с уполномоченным органом?,"Нормативные правовые акты подлежат обязательному согласованию с уполномоченным органом, если они регулируют отношения, связанные с осуществлением трансграничной передачи персональных данных, обработкой специальных категорий персональных данных, биометрических персональных данных, персональных данных несовершеннолетних, предоставлением, распространением персональных данных, полученных в результате обезличивания.","Нормативные правовые акты, принимаемые в соответствии с частью 2 настоящей статьи, подлежат обязательному согласованию с уполномоченным органом по защите прав субъектов персональных данных в случаях, если указанные нормативные правовые акты регулируют отношения, связанные с осуществлением трансграничной передачи персональных данных, обработкой специальных категорий персональных данных, биометрических персональных данных, персональных данных несовершеннолетних, предоставлением, распространением персональных данных, полученных в результате обезличивания.",medium
39,Каков максимальный срок согласования нормативных правовых актов с уполномоченным органом?,Максимальный срок согласования нормативных правовых актов с уполномоченным органом не может превышать тридцать дней с даты поступления соответствующего нормативного правового акта в уполномоченный орган по защите прав субъектов персональных данных.,Срок указанного согласования не может превышать тридцать дней с даты поступления соответствующего нормативного правового акта в уполномоченный орган по защите прав субъектов персональных данных.,easy
40,"В случае противоречия, какие правила применяются в соответствии с текстом?",Применяются правила международного договора.,"Если международным договором Российской Федерации установлены иные правила, чем те, которые предусмотрены настоящим Федеральным законом, применяются правила международного договора.",easy
41,"Что происходит, если международный договор противоречит Федеральному закону?",Применяются правила международного договора.,"Если международным договором Российской Федерации установлены иные правила, чем те, которые предусмотрены настоящим Федеральным законом, применяются правила международного договора.",medium
42,Что определяет данный текст?,Данный текст определяет положения Федерального закона от 25.07.2011 N 261-ФЗ.,(в ред. Федерального закона от 25.07.2011 N 261-ФЗ),easy
43,Какое число содержит в себе информацию в указанном тексте?,В указанном тексте содержится информация о Федеральном законе от 25.07.2011 N 261-ФЗ.,(в ред. Федерального закона от 25.07.2011 N 261-ФЗ),easy
44,Какие принципы должны лежать в основе обработки персональных данных?,Обработка персональных данных должна осуществляться на законной и справедливой основе.,Обработка персональных данных должна осуществляться на законной и справедливой основе.,easy
45,Каким образом должна осуществляться обработка персональных данных согласно данному фрагменту текста?,Обработка персональных данных должна осуществляться на законной и справедливой основе.,Обработка персональных данных должна осуществляться на законной и справедливой основе.,medium
46,Какие условия должны соблюдаться при обработке персональных данных?,"При обработке персональных данных должны соблюдаться условия достижения конкретных, заранее определенных и законных целей.","Обработка персональных данных должна ограничиваться достижением конкретных, заранее определенных и законных целей. Не допускается обработка персональных данных, несовместимая с целями сбора персональных данных.",easy
47,Что не допускается в отношении обработки персональных данных?,"Не допускается обработка персональных данных, несовместимая с целями сбора персональных данных.","Обработка персональных данных должна ограничиваться достижением конкретных, заранее определенных и законных целей. Не допускается обработка персональных данных, несовместимая с целями сбора персональных данных.",medium
48,Какое ограничение существует при объединении баз данных с персональными данными?,"Не допускается объединение баз данных, содержащих персональные данные, обработка которых осуществляется в целях, несовместимых между собой.","Не допускается объединение баз данных, содержащих персональные данные, обработка которых осуществляется в целях, несовместимых между собой.",easy
49,Почему запрещено объединять базы данных с персональными данными?,"Это запрещено, поскольку цели обработки данных в таких базах данных должны быть совместимы.","Не допускается объединение баз данных, содержащих персональные данные, обработка которых осуществляется в целях, несовместимых между собой.",medium
